ID;X2;X4.2;X4.3;X4.4;X5.4;X5.5;X10.3;X14.2;X15.3;X15.4;X24;X30;X34
7;9872,96;0;1;0;0;0;0;0;1;0;0;1;0
8;9767,09;1;0;0;0;0;0;1;1;0;0;1;1
9;10399,65;0;1;0;1;0;0;0;0;1;0;0;0
10;8503,63;0;0;0;0;0;0;0;0;1;1;0;0
11;10504,49;0;1;0;0;0;0;0;0;1;0;1;0
12;11710,34;0;0;1;1;0;0;0;0;1;1;1;0
13;11407,79;1;0;0;1;0;0;0;0;1;1;0;1
14;9599,91;0;0;1;0;0;0;0;1;0;0;1;0
15;10992,77;0;0;1;1;0;0;0;0;1;1;0;0
16;9518,91;0;0;0;0;0;0;1;0;1;0;0;1
18;10340,49;0;0;0;1;0;1;0;0;1;1;0;0
20;10374,96;1;0;0;1;0;0;0;0;1;0;0;0
21;7975,08;0;0;0;0;0;1;0;0;1;1;1;0
23;10306,51;0;0;1;1;0;0;1;1;0;0;1;1
24;13771;0;0;0;1;0;1;0;0;1;0;0;0
25;11395,97;0;0;1;0;0;0;1;1;0;0;0;0
27;9657,46;0;0;1;0;0;0;0;1;0;0;0;1
33;8718,84;0;1;0;0;0;0;0;1;0;1;0;0
34;8713,34;0;1;0;1;0;0;1;0;0;1;0;0
35;12545,18;0;1;0;0;0;0;0;0;1;0;1;1
36;9375,84;0;0;1;1;0;0;1;0;1;1;1;1
39;10543,22;0;0;0;1;0;0;1;1;0;1;0;1
41;7446,32;0;0;0;1;0;0;0;0;1;0;0;0
43;10542,59;1;0;0;1;0;0;0;1;0;1;1;1
44;10161,23;0;0;0;1;0;0;0;0;0;0;0;0
45;11522,99;0;0;1;0;0;0;1;0;1;0;0;0
46;9721,35;1;0;0;0;0;1;0;0;1;1;0;1
48;9513,3;0;0;0;0;0;0;0;0;1;1;0;0
49;12054,29;0;0;0;0;0;0;0;1;0;0;0;1
50;6906,75;0;0;1;0;0;1;0;1;0;1;0;0
52;12346,08;1;0;0;0;0;1;0;0;0;1;0;1
54;12046,67;0;1;0;1;0;0;0;1;0;1;1;0
55;9980,02;0;0;1;1;0;0;0;0;1;0;0;1
57;11026,91;0;0;0;0;0;0;0;0;1;1;0;0
58;10037,73;1;0;0;0;0;0;0;0;1;1;0;0
60;9274,68;0;0;1;0;0;1;0;0;1;0;0;0
61;10694,36;1;0;0;1;0;0;0;0;1;1;0;0
62;11927,28;1;0;0;0;0;1;0;0;1;0;0;1
63;11637,04;0;0;1;0;0;0;0;1;0;0;1;0
64;9871,36;0;0;0;0;0;0;0;1;0;1;1;1
65;10973,3;0;0;0;1;0;0;0;0;1;0;0;0
66;11544,7;0;0;0;1;0;0;0;0;1;1;0;0
67;8063,57;0;0;1;1;0;0;0;1;0;0;1;0
68;9740,85;0;1;0;1;0;0;0;0;1;1;0;0
69;9019,98;0;1;0;1;0;0;0;0;1;0;0;0
71;13663,65;0;0;1;0;0;0;0;0;0;1;1;1
73;8314,64;0;0;0;0;0;1;0;0;1;1;0;1
74;12360,56;0;0;1;1;0;0;0;0;1;1;1;0
77;11995,01;0;0;1;1;0;0;0;0;1;0;1;0
79;6462,62;0;1;0;0;0;1;0;0;1;0;1;0
82;8834,1;0;0;1;0;0;0;0;0;1;0;0;0
84;8992,84;0;0;1;0;0;0;0;1;0;1;0;0
85;11504,53;0;0;1;0;0;0;0;0;1;1;0;0
86;9647,61;1;0;0;0;0;0;0;0;1;1;1;0
87;11425,09;0;0;1;0;0;0;0;1;0;1;1;1
88;11081,99;1;0;0;1;0;0;1;0;1;1;0;1
90;9419,77;0;0;1;1;0;0;0;1;0;1;0;0
92;11709,4;0;0;1;0;0;0;0;0;1;1;0;1
93;12738,48;0;0;0;0;0;0;1;1;0;1;0;0
96;9795,8;0;0;0;0;0;0;1;1;0;0;0;0
97;10751,39;1;0;0;1;0;0;1;0;0;0;0;0
98;9864,09;1;0;0;0;0;0;0;0;1;1;0;1
99;9767,7;1;0;0;0;0;0;0;0;1;1;0;0
100;10759,19;1;0;0;0;0;0;0;1;0;0;1;1
101;10766,48;1;0;0;0;0;0;1;0;1;0;0;0
102;10138,57;1;0;0;0;0;0;0;1;0;1;0;1
104;8190,36;0;0;1;1;0;0;0;1;0;1;0;0
105;11376,3;0;1;0;1;0;0;1;0;1;1;1;0
106;9041,62;0;1;0;1;0;0;0;0;1;1;0;0
107;11091,22;0;0;0;0;0;0;0;0;1;0;1;1
108;11053,99;0;0;1;0;0;0;0;0;1;1;0;1
110;11144,51;0;0;1;0;0;0;1;1;0;0;1;0
111;9632,5;1;0;0;1;0;0;0;1;0;1;0;0
112;9808,7;0;1;0;1;0;0;0;0;0;1;1;1
114;10702,26;0;0;0;0;0;0;0;0;1;0;0;0
115;8605,34;1;0;0;0;0;0;0;1;0;1;0;0
116;11163,32;0;0;1;0;0;0;0;0;0;0;0;0
118;9752,46;0;0;1;1;0;0;0;1;0;1;0;0
120;10936,59;0;1;0;0;0;0;0;0;1;0;0;1
121;10856,54;0;0;1;1;0;0;0;1;0;0;0;0
123;11305;0;1;0;1;0;0;1;1;0;1;1;1
124;9240,69;0;0;0;1;0;0;0;0;1;0;0;0
125;10649,51;1;0;0;1;0;0;0;1;0;0;0;1
128;12970,56;0;0;1;1;0;0;1;1;0;1;1;1
129;8967,87;0;0;1;0;0;0;1;0;1;0;1;0
130;10274,97;0;0;0;0;0;0;0;0;1;0;0;0
131;9477,61;1;0;0;1;0;0;0;0;1;1;1;1
133;10155,79;0;1;0;1;0;0;1;0;1;1;1;1
134;11059,49;0;1;0;0;0;1;0;0;0;1;0;1
136;8553,27;0;0;1;0;0;0;0;0;1;0;1;0
138;9340,33;0;1;0;0;0;1;1;1;0;0;1;1
139;6241,64;0;0;1;0;0;0;0;0;1;1;0;0
141;10628,3;0;0;1;1;0;0;1;1;0;1;0;0
144;9100,78;0;0;1;0;0;0;0;1;0;0;1;0
146;9554,73;0;0;1;0;0;0;0;0;1;1;0;0
150;9865,86;0;1;0;1;0;0;0;0;1;1;1;0
151;9227,63;0;0;1;1;0;0;0;0;1;0;1;1
152;12175,3;0;0;1;0;0;0;0;0;1;1;0;1
154;12849,48;0;0;1;1;0;0;1;1;0;0;0;0
157;12887,94;0;0;1;1;0;0;0;1;0;0;1;0
159;12571,84;0;0;1;1;0;1;0;0;1;0;1;0
162;9278,61;0;0;1;0;0;0;0;1;0;0;0;0
166;11889,56;0;1;0;1;0;0;0;0;1;1;0;0
167;12206;0;1;0;0;0;0;0;0;1;0;0;1
171;10199,47;0;0;1;0;0;0;0;1;0;1;1;0
174;10869,1;0;1;0;1;0;0;1;0;1;1;0;0
175;9703,46;0;0;1;1;0;0;0;1;0;0;0;1
177;11613,54;0;0;0;1;0;0;0;0;0;1;0;0
178;9403,2;0;1;0;0;0;0;0;1;0;1;0;0
179;11632,14;0;1;0;0;0;0;0;0;0;1;0;1
183;14705,5;0;0;1;0;0;0;1;1;0;0;1;0
184;10966,72;1;0;0;0;0;0;1;0;1;1;1;0
186;10181,6;1;0;0;0;0;0;0;0;1;0;0;0
188;11838,36;0;1;0;0;0;0;0;1;0;0;0;0
191;7876,72;0;0;1;0;0;0;0;1;0;1;0;0
192;8051,8;0;0;1;1;0;0;1;0;1;0;0;1
194;9943,96;1;0;0;0;0;0;0;1;0;0;0;1
196;9983,24;0;0;1;0;0;0;1;1;0;1;0;0
197;10695,72;0;0;1;1;0;0;0;1;0;0;0;1
199;9304,49;1;0;0;0;0;0;0;1;0;0;0;0
201;11305,72;0;0;1;1;0;0;0;1;0;1;1;0
203;9355,46;1;0;0;1;0;0;1;0;0;1;0;0
204;10924,83;0;0;1;0;0;0;1;0;1;1;0;0
205;11167,71;0;0;1;0;0;0;0;1;0;0;0;0
207;8935,13;1;0;0;1;0;0;0;0;1;1;0;1
208;10771,97;0;0;1;0;0;0;1;0;0;0;0;0
210;10596,26;0;0;1;1;0;0;1;0;0;1;0;1
211;10553,7;0;0;0;0;0;0;0;0;0;1;0;1
212;9667,69;0;0;0;1;0;0;0;1;0;0;1;0
213;10617,2;0;1;0;0;0;0;1;0;1;1;0;0
214;10294,54;0;1;0;1;0;0;0;0;1;1;1;1
216;8983,86;0;0;1;0;0;0;1;0;0;0;0;1
217;9412,37;0;1;0;0;0;0;1;0;0;1;0;1
218;7985,46;0;0;1;1;0;0;0;0;1;1;1;1
219;9308,64;0;0;0;1;0;0;0;0;1;1;0;0
220;9189,69;0;0;1;1;0;0;0;0;1;1;0;0
221;10034,74;1;0;0;0;0;0;1;0;1;0;0;1
224;12896,08;0;0;0;0;0;0;0;1;0;0;1;1
225;12271,85;0;0;0;0;0;0;0;1;0;1;0;0
226;8657,97;0;0;1;0;0;0;1;0;1;1;0;0
229;8399,78;0;0;1;0;0;1;0;1;0;1;0;0
230;10865,39;1;0;0;0;0;0;0;1;0;1;0;0
231;12469,1;1;0;0;1;0;0;0;0;1;0;0;1
232;12682,17;0;0;1;1;0;0;0;0;0;1;1;1
233;11230,16;0;0;1;1;0;1;0;0;1;1;0;0
234;9796,23;0;0;1;1;0;0;0;1;0;1;1;0
235;10858,55;0;0;1;0;0;0;0;0;0;0;1;1
236;10872,75;1;0;0;0;0;0;0;0;1;0;0;1
238;8037,01;1;0;0;1;0;0;0;0;1;1;0;0
239;9539,76;0;0;0;1;0;0;0;0;1;1;1;0
240;13600,19;1;0;0;0;0;0;1;0;1;1;1;1
241;11893,1;0;1;0;0;0;0;0;0;1;1;1;1
242;11565,4;0;0;0;1;0;0;0;1;0;1;0;1
243;10299,44;0;1;0;1;0;0;1;0;0;1;1;0
244;8835,07;0;0;1;0;0;1;0;1;0;0;0;1
246;12371,54;1;0;0;1;0;0;1;1;0;1;1;0
247;10988,58;0;0;0;0;0;0;1;0;1;0;0;1
248;10776,82;1;0;0;1;0;0;0;0;1;1;0;1
249;9541,45;1;0;0;0;0;0;1;0;1;0;0;1
250;9355,92;1;0;0;0;0;0;1;1;0;1;1;0
252;14433,51;0;1;0;1;0;0;0;1;0;0;0;1
253;9718,19;0;1;0;0;0;0;0;0;1;1;1;0
254;9262,61;0;0;0;0;0;0;0;0;0;0;0;1
256;11798,24;0;0;0;1;0;0;1;0;1;1;0;0
257;9568,49;0;0;1;0;0;0;1;1;0;0;1;1
259;11158,07;1;0;0;0;0;0;1;1;0;0;0;0
260;12289,37;0;0;1;1;0;0;0;1;0;0;0;0
262;9713,12;1;0;0;1;0;0;0;0;1;0;0;1
264;9031,52;1;0;0;0;0;0;0;0;1;1;0;1
266;11177,22;0;0;0;0;0;0;1;0;1;0;0;1
267;9365,58;0;1;0;1;0;0;0;0;0;1;0;0
268;8776,07;0;0;1;0;0;0;0;0;1;1;0;0
269;10920,69;0;1;0;1;0;0;1;0;1;1;0;0
270;10813,23;0;1;0;0;0;0;0;0;1;0;0;0
271;10097,62;0;0;1;0;0;0;0;0;1;1;0;1
272;10873,8;0;1;0;0;0;0;1;0;1;0;1;0
273;10115,94;0;0;1;0;0;0;1;1;0;1;1;0
275;8816,46;0;0;1;1;0;0;0;1;0;1;0;0
276;9533,56;0;1;0;1;0;0;1;0;1;1;1;0
278;8105,37;0;0;1;0;0;0;0;1;0;1;0;1
279;11566,24;1;0;0;1;0;0;1;1;0;1;0;1
280;10172,13;0;0;1;1;0;0;1;1;0;1;0;0
281;10952,86;0;1;0;1;0;0;0;1;0;1;0;1
282;12762,75;0;0;1;0;0;0;0;0;1;1;0;1
283;10119,42;0;0;1;1;0;0;0;1;0;0;1;0
284;9140,6;0;1;0;1;0;1;0;0;1;1;0;0
285;11432,63;1;0;0;0;0;0;0;0;1;0;1;0
286;13839,59;1;0;0;0;0;0;0;0;1;0;0;1
287;12641,14;0;0;0;0;0;0;0;1;0;1;0;0
289;13304,26;0;1;0;0;0;0;0;0;1;1;0;0
290;10211,09;0;0;1;1;0;0;0;0;0;0;0;1
291;9042,94;0;0;1;1;0;0;1;0;1;0;0;0
293;8312,9;1;0;0;0;0;0;0;0;1;0;0;0
294;12447,35;0;0;1;1;0;0;0;0;1;0;0;1
295;10815,19;0;0;1;0;0;0;0;0;1;0;0;0
297;12588,09;0;0;1;0;0;0;0;0;0;1;1;0
299;13134,03;1;0;0;0;0;0;0;1;0;0;1;0
300;9574,96;0;0;1;0;0;0;0;0;1;0;0;0
301;8794,86;1;0;0;0;0;0;0;0;1;1;0;1
302;9818,99;0;0;1;0;0;0;0;1;0;0;0;0
304;11716,73;0;0;0;1;0;1;0;0;1;1;1;0
305;8109,98;1;0;0;1;0;0;1;1;0;1;0;0
306;12211,41;0;1;0;1;0;0;1;0;1;1;0;0
307;12273,32;0;0;1;0;0;0;1;0;1;0;0;1
308;10416,68;0;1;0;0;0;0;0;0;0;0;1;0
309;10221,27;0;1;0;1;0;0;0;0;1;0;0;1
310;13489;1;0;0;1;0;0;0;0;1;0;0;1
312;9424,59;0;0;0;1;0;0;1;1;0;1;0;0
313;11414,06;0;0;1;1;0;0;0;0;1;1;0;1
315;11002,98;0;0;1;0;0;0;0;0;0;0;0;0
322;9930,74;0;0;1;1;0;0;1;0;0;0;0;0
323;10208,23;0;0;0;1;0;0;1;1;0;1;0;1
327;11064,5;1;0;0;0;0;0;0;1;0;0;1;0
329;8983,39;0;0;0;0;0;0;0;1;0;0;0;0
332;8951,15;0;1;0;0;0;0;0;1;0;0;0;0
334;10257,82;0;1;0;0;0;0;1;1;0;1;0;0
335;9551,04;0;0;0;0;0;0;0;0;1;0;1;1
336;8794,28;0;0;1;0;0;0;0;0;0;0;0;0
337;11761,73;0;1;0;0;0;0;0;1;0;1;1;0
338;10928,75;1;0;0;0;0;0;1;0;0;1;1;0
340;9628,35;0;0;1;0;0;0;1;1;0;0;0;1
341;9442,12;0;0;0;1;0;0;1;0;1;0;0;1
342;10532,02;0;0;1;0;0;0;0;1;0;0;0;1
343;9682,02;0;0;1;0;0;1;0;1;0;0;0;1
345;10750,58;0;0;1;1;0;0;1;1;0;0;1;1
347;10157,75;0;0;0;1;0;0;1;0;1;1;1;0
349;9677,67;0;0;1;1;0;0;0;0;0;0;1;1
350;11626,4;0;1;0;0;0;0;0;0;1;0;1;1
351;13335,22;0;0;0;0;0;0;0;0;1;0;0;0
352;9153,6;0;1;0;1;0;0;0;0;1;1;0;1
353;10725,42;1;0;0;0;0;0;1;0;1;1;0;0
354;7644,95;0;0;1;1;0;0;0;0;1;0;0;0
355;11510,91;0;0;1;0;0;0;0;0;0;1;1;0
356;10186,74;0;0;1;0;0;0;1;1;0;0;0;1
357;13693,04;0;0;1;1;0;0;0;1;0;1;0;0
359;9742,19;0;0;0;1;0;0;0;1;0;1;0;0
363;10796,31;0;0;0;1;0;0;0;0;0;0;0;1
364;11215,55;0;0;1;0;0;0;0;0;1;0;1;0
365;8074,21;1;0;0;0;0;0;0;1;0;0;1;1
367;7760,75;1;0;0;1;0;0;1;0;1;0;0;1
368;9361,8;0;0;0;1;0;0;1;0;1;0;0;0
369;10523,81;0;0;1;0;0;1;0;0;1;1;0;1
370;10309,11;0;1;0;0;0;0;0;1;0;0;0;0
371;10293,05;0;0;0;1;0;0;0;0;1;1;1;1
372;10852,68;0;0;0;0;0;0;0;0;1;0;0;0
375;9120,54;1;0;0;0;0;0;0;0;1;0;1;1
376;12110,18;0;0;1;0;0;0;0;0;1;0;1;0
377;9294,39;0;1;0;1;0;0;0;0;1;1;1;0
378;9433,25;0;1;0;0;0;0;0;0;1;1;0;0
379;8760,53;0;0;0;1;0;1;0;0;0;1;0;0
380;9459,1;0;1;0;1;0;0;1;0;1;1;1;0
381;11038,72;0;0;0;1;0;0;1;0;1;1;0;1
382;10289,38;0;0;1;0;0;0;0;0;0;1;0;1
383;10640,18;1;0;0;0;0;0;1;0;1;1;0;0
385;10420,9;1;0;0;0;0;0;0;0;0;0;1;0
386;7977,44;0;1;0;0;0;0;0;0;1;0;1;0
388;13407,64;0;0;1;1;0;1;1;1;0;0;1;0
