id;X2;X4.2;X4.3;X4.4;X5.4;X5.5;X10.3;X14.2;X15.3;X15.4;X24;X30;X34
2;10447,36;0;0;1;1;0;0;0;0;1;1;0;1
3;11515,04;0;0;0;1;0;0;0;0;0;0;0;1
4;10600,94;1;0;0;1;0;0;0;1;0;0;0;1
5;9872,96;0;1;0;0;0;0;0;1;0;0;1;0
6;9767,09;1;0;0;0;0;0;1;1;0;0;1;1
7;10399,65;0;1;0;1;0;0;0;0;1;0;0;0
9;10504,49;0;1;0;0;0;0;0;0;1;0;1;0
10;11710,34;0;0;1;1;0;0;0;0;1;1;1;0
13;10992,77;0;0;1;1;0;0;0;0;1;1;0;0
14;9518,91;0;0;0;0;0;0;1;0;1;0;0;1
16;10340,49;0;0;0;1;0;1;0;0;1;1;0;0
17;11518,22;0;0;1;0;0;0;1;0;1;0;1;0
18;10374,96;1;0;0;1;0;0;0;0;1;0;0;0
19;7975,08;0;0;0;0;0;1;0;0;1;1;1;0
22;13771;0;0;0;1;0;1;0;0;1;0;0;0
23;11395,97;0;0;1;0;0;0;1;1;0;0;0;0
27;12174,81;1;0;0;0;0;0;0;1;0;0;0;0
28;8110,68;0;0;0;0;0;1;0;0;1;1;0;1
29;12203,02;0;1;0;1;0;0;0;0;1;0;0;1
30;10056,17;0;1;0;1;0;0;0;0;1;0;0;1
31;8718,84;0;1;0;0;0;0;0;1;0;1;0;0
33;12545,18;0;1;0;0;0;0;0;0;1;0;1;1
34;9375,84;0;0;1;1;0;0;1;0;1;1;1;1
36;10209,81;0;0;1;0;0;0;0;0;1;0;0;0
37;10543,22;0;0;0;1;0;0;1;1;0;1;0;1
38;10977,25;0;0;1;0;0;0;0;0;1;1;1;1
39;7446,32;0;0;0;1;0;0;0;0;1;0;0;0
40;6171,4;0;1;0;0;0;0;1;0;1;1;0;0
41;10542,59;1;0;0;1;0;0;0;1;0;1;1;1
43;11522,99;0;0;1;0;0;0;1;0;1;0;0;0
46;9513,3;0;0;0;0;0;0;0;0;1;1;0;0
47;12054,29;0;0;0;0;0;0;0;1;0;0;0;1
49;12057,9;1;0;0;1;0;0;0;1;0;0;0;0
50;12346,08;1;0;0;0;0;1;0;0;0;1;0;1
53;9980,02;0;0;1;1;0;0;0;0;1;0;0;1
54;9238,57;0;0;1;1;0;0;0;1;0;1;1;0
55;11026,91;0;0;0;0;0;0;0;0;1;1;0;0
56;10037,73;1;0;0;0;0;0;0;0;1;1;0;0
58;9274,68;0;0;1;0;0;1;0;0;1;0;0;0
59;10694,36;1;0;0;1;0;0;0;0;1;1;0;0
60;11927,28;1;0;0;0;0;1;0;0;1;0;0;1
63;10973,3;0;0;0;1;0;0;0;0;1;0;0;0
64;11544,7;0;0;0;1;0;0;0;0;1;1;0;0
68;10512,16;0;0;1;0;0;0;1;0;1;1;1;1
70;9870,24;0;0;1;0;0;0;0;0;0;1;1;0
72;12360,56;0;0;1;1;0;0;0;0;1;1;1;0
73;9257,57;0;1;0;1;0;0;1;1;0;0;0;0
74;7925,15;0;0;0;0;0;0;1;0;1;1;1;0
76;8233,19;1;0;0;1;0;1;0;1;0;1;0;0
78;9168,65;1;0;0;0;0;0;0;0;1;0;0;0
79;10995,5;1;0;0;0;0;0;1;0;1;0;0;0
80;8834,1;0;0;1;0;0;0;0;0;1;0;0;0
81;11102,15;1;0;0;1;0;0;1;1;0;0;1;0
82;8992,84;0;0;1;0;0;0;0;1;0;1;0;0
83;11504,53;0;0;1;0;0;0;0;0;1;1;0;0
84;9647,61;1;0;0;0;0;0;0;0;1;1;1;0
85;11425,09;0;0;1;0;0;0;0;1;0;1;1;1
86;11081,99;1;0;0;1;0;0;1;0;1;1;0;1
87;10112,93;0;0;1;0;0;0;0;1;0;1;0;0
88;9419,77;0;0;1;1;0;0;0;1;0;1;0;0
92;11861,07;0;1;0;0;0;0;0;1;0;0;0;0
93;10914,69;0;1;0;1;0;1;1;0;1;0;1;1
94;9795,8;0;0;0;0;0;0;1;1;0;0;0;0
95;10751,39;1;0;0;1;0;0;1;0;0;0;0;0
96;9864,09;1;0;0;0;0;0;0;0;1;1;0;1
98;10759,19;1;0;0;0;0;0;0;1;0;0;1;1
99;10766,48;1;0;0;0;0;0;1;0;1;0;0;0
104;9041,62;0;1;0;1;0;0;0;0;1;1;0;0
106;11053,99;0;0;1;0;0;0;0;0;1;1;0;1
110;9808,7;0;1;0;1;0;0;0;0;0;1;1;1
112;10702,26;0;0;0;0;0;0;0;0;1;0;0;0
113;8605,34;1;0;0;0;0;0;0;1;0;1;0;0
115;11029,37;0;0;1;0;0;0;0;0;1;0;1;0
116;9752,46;0;0;1;1;0;0;0;1;0;1;0;0
117;12261,66;1;0;0;0;0;1;1;1;0;0;1;0
118;10936,59;0;1;0;0;0;0;0;0;1;0;0;1
121;11305;0;1;0;1;0;0;1;1;0;1;1;1
123;10649,51;1;0;0;1;0;0;0;1;0;0;0;1
124;12110,07;0;0;1;0;0;0;0;1;0;0;0;0
125;12711,58;0;0;1;0;0;0;0;0;1;1;0;0
126;12970,56;0;0;1;1;0;0;1;1;0;1;1;1
128;10274,97;0;0;0;0;0;0;0;0;1;0;0;0
130;8460,38;0;0;1;1;0;0;0;1;0;0;0;0
131;10155,79;0;1;0;1;0;0;1;0;1;1;1;1
133;11417,6;0;0;1;1;0;0;0;1;0;1;0;0
134;8553,27;0;0;1;0;0;0;0;0;1;0;1;0
135;10724,46;1;0;0;1;0;0;0;1;0;0;1;0
136;9340,33;0;1;0;0;0;1;1;1;0;0;1;1
137;6241,64;0;0;1;0;0;0;0;0;1;1;0;0
140;11678,21;0;1;0;1;0;0;0;0;1;1;1;0
141;12193,37;1;0;0;1;0;0;0;1;0;0;0;0
142;9100,78;0;0;1;0;0;0;0;1;0;0;1;0
145;9779,2;1;0;0;0;0;0;1;0;1;1;1;0
148;9865,86;0;1;0;1;0;0;0;0;1;1;1;0
149;9227,63;0;0;1;1;0;0;0;0;1;0;1;1
150;12175,3;0;0;1;0;0;0;0;0;1;1;0;1
152;12849,48;0;0;1;1;0;0;1;1;0;0;0;0
153;11594,82;0;0;1;1;0;0;0;0;1;1;0;1
154;12565,31;0;1;0;1;0;0;0;1;0;1;0;0
155;12887,94;0;0;1;1;0;0;0;1;0;0;1;0
156;10711,77;0;0;0;0;0;0;1;0;1;0;0;0
157;12571,84;0;0;1;1;0;1;0;0;1;0;1;0
158;11678,92;0;0;1;0;0;0;0;0;1;0;1;0
160;9278,61;0;0;1;0;0;0;0;1;0;0;0;0
161;9972,59;1;0;0;0;0;0;0;0;1;0;0;1
163;11508,02;1;0;0;1;0;0;1;1;0;0;0;0
164;11889,56;0;1;0;1;0;0;0;0;1;1;0;0
165;12206;0;1;0;0;0;0;0;0;1;0;0;1
166;7251,87;0;1;0;0;0;0;0;1;0;0;0;1
168;9289,75;0;1;0;0;0;0;0;0;0;1;1;0
169;10199,47;0;0;1;0;0;0;0;1;0;1;1;0
170;10570,96;1;0;0;1;0;0;0;1;0;0;1;0
177;11632,14;0;1;0;0;0;0;0;0;0;1;0;1
179;9648,43;0;0;0;0;0;0;0;0;1;1;0;0
181;14705,5;0;0;1;0;0;0;1;1;0;0;1;0
182;10966,72;1;0;0;0;0;0;1;0;1;1;1;0
183;9874,99;0;0;0;0;0;0;1;0;1;1;1;1
184;10181,6;1;0;0;0;0;0;0;0;1;0;0;0
185;11917,07;0;0;1;0;0;0;0;0;1;0;0;1
186;11838,36;0;1;0;0;0;0;0;1;0;0;0;0
187;9367,2;0;1;0;1;0;0;1;0;1;1;0;1
189;7876,72;0;0;1;0;0;0;0;1;0;1;0;0
190;8051,8;0;0;1;1;0;0;1;0;1;0;0;1
191;9883,96;0;0;0;1;0;0;0;1;0;0;0;0
192;9943,96;1;0;0;0;0;0;0;1;0;0;0;1
193;13860,94;0;1;0;0;0;0;1;0;1;0;0;0
195;10695,72;0;0;1;1;0;0;0;1;0;0;0;1
196;10811,81;0;1;0;0;0;0;0;1;0;0;0;0
197;9304,49;1;0;0;0;0;0;0;1;0;0;0;0
199;11305,72;0;0;1;1;0;0;0;1;0;1;1;0
200;12600,9;0;0;1;1;0;0;0;1;0;0;0;1
201;9355,46;1;0;0;1;0;0;1;0;0;1;0;0
202;10924,83;0;0;1;0;0;0;1;0;1;1;0;0
203;11167,71;0;0;1;0;0;0;0;1;0;0;0;0
204;9011,9;0;0;1;0;0;0;1;0;1;0;0;0
205;8935,13;1;0;0;1;0;0;0;0;1;1;0;1
206;10771,97;0;0;1;0;0;0;1;0;0;0;0;0
207;9940,1;0;0;0;1;0;0;1;1;0;0;1;1
208;10596,26;0;0;1;1;0;0;1;0;0;1;0;1
210;9667,69;0;0;0;1;0;0;0;1;0;0;1;0
211;10617,2;0;1;0;0;0;0;1;0;1;1;0;0
212;10294,54;0;1;0;1;0;0;0;0;1;1;1;1
214;8983,86;0;0;1;0;0;0;1;0;0;0;0;1
216;7985,46;0;0;1;1;0;0;0;0;1;1;1;1
217;9308,64;0;0;0;1;0;0;0;0;1;1;0;0
218;9189,69;0;0;1;1;0;0;0;0;1;1;0;0
219;10034,74;1;0;0;0;0;0;1;0;1;0;0;1
220;10318,82;1;0;0;0;0;0;0;1;0;1;0;0
221;12416,49;0;0;0;1;0;0;0;0;1;1;1;1
223;12271,85;0;0;0;0;0;0;0;1;0;1;0;0
224;8657,97;0;0;1;0;0;0;1;0;1;1;0;0
227;8399,78;0;0;1;0;0;1;0;1;0;1;0;0
229;12469,1;1;0;0;1;0;0;0;0;1;0;0;1
230;12682,17;0;0;1;1;0;0;0;0;0;1;1;1
231;11230,16;0;0;1;1;0;1;0;0;1;1;0;0
232;9796,23;0;0;1;1;0;0;0;1;0;1;1;0
234;10872,75;1;0;0;0;0;0;0;0;1;0;0;1
235;9374,13;0;1;0;0;0;0;0;0;1;1;0;0
236;8037,01;1;0;0;1;0;0;0;0;1;1;0;0
237;9539,76;0;0;0;1;0;0;0;0;1;1;1;0
238;13600,19;1;0;0;0;0;0;1;0;1;1;1;1
239;11893,1;0;1;0;0;0;0;0;0;1;1;1;1
240;11565,4;0;0;0;1;0;0;0;1;0;1;0;1
241;10299,44;0;1;0;1;0;0;1;0;0;1;1;0
242;8835,07;0;0;1;0;0;1;0;1;0;0;0;1
243;10865,48;0;0;0;1;0;1;1;0;1;0;1;1
245;10988,58;0;0;0;0;0;0;1;0;1;0;0;1
248;9355,92;1;0;0;0;0;0;1;1;0;1;1;0
251;9718,19;0;1;0;0;0;0;0;0;1;1;1;0
252;9262,61;0;0;0;0;0;0;0;0;0;0;0;1
254;11798,24;0;0;0;1;0;0;1;0;1;1;0;0
257;11158,07;1;0;0;0;0;0;1;1;0;0;0;0
258;12289,37;0;0;1;1;0;0;0;1;0;0;0;0
259;11485,31;0;0;1;1;0;0;0;1;0;0;0;0
261;8775,78;0;0;1;1;0;0;1;1;0;1;0;1
262;9031,52;1;0;0;0;0;0;0;0;1;1;0;1
264;11177,22;0;0;0;0;0;0;1;0;1;0;0;1
266;8776,07;0;0;1;0;0;0;0;0;1;1;0;0
267;10920,69;0;1;0;1;0;0;1;0;1;1;0;0
270;10873,8;0;1;0;0;0;0;1;0;1;0;1;0
274;9533,56;0;1;0;1;0;0;1;0;1;1;1;0
277;11566,24;1;0;0;1;0;0;1;1;0;1;0;1
280;12762,75;0;0;1;0;0;0;0;0;1;1;0;1
282;9140,6;0;1;0;1;0;1;0;0;1;1;0;0
283;11432,63;1;0;0;0;0;0;0;0;1;0;1;0
285;12641,14;0;0;0;0;0;0;0;1;0;1;0;0
287;13304,26;0;1;0;0;0;0;0;0;1;1;0;0
288;10211,09;0;0;1;1;0;0;0;0;0;0;0;1
290;8318,44;0;0;1;0;0;0;0;0;0;1;0;1
291;8312,9;1;0;0;0;0;0;0;0;1;0;0;0
293;10815,19;0;0;1;0;0;0;0;0;1;0;0;0
294;7832,6;1;0;0;0;0;0;1;0;1;1;0;0
295;12588,09;0;0;1;0;0;0;0;0;0;1;1;0
296;9360,06;0;0;1;0;0;0;0;0;1;0;0;0
298;9574,96;0;0;1;0;0;0;0;0;1;0;0;0
299;8794,86;1;0;0;0;0;0;0;0;1;1;0;1
300;9818,99;0;0;1;0;0;0;0;1;0;0;0;0
301;10226,59;0;0;1;0;0;0;0;0;1;1;1;1
303;8109,98;1;0;0;1;0;0;1;1;0;1;0;0
304;12211,41;0;1;0;1;0;0;1;0;1;1;0;0
